id,title,price,in_stock,rating
1,A Light in the Attic,51.77,In stock,3
2,Tipping the Velvet,53.74,In stock,1
3,Soumission,50.1,In stock,1
4,Sharp Objects,47.82,In stock,4
5,Sapiens: A Brief History of Humankind,54.23,In stock,5
6,The Requiem Red,22.65,In stock,1
7,The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock,4
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock,3
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In stock,4
10,The Black Maria,52.15,In stock,1
11,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock,2
12,Shakespeare's Sonnets,20.66,In stock,4
13,Set Me Free,17.46,In stock,5
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock,5
15,Rip it Up and Start Again,35.02,In stock,5
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In stock,3
17,Olio,23.88,In stock,1
18,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In stock,1
19,Libertarianism for Beginners,51.33,In stock,2
20,It's Only the Himalayas,45.17,In stock,2
21,A Light in the Attic,51.77,In stock,3
22,Tipping the Velvet,53.74,In stock,1
23,Soumission,50.1,In stock,1
24,Sharp Objects,47.82,In stock,4
25,Sapiens: A Brief History of Humankind,54.23,In stock,5
26,The Requiem Red,22.65,In stock,1
27,The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock,4
28,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock,3
29,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In stock,4
30,The Black Maria,52.15,In stock,1
31,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock,2
32,Shakespeare's Sonnets,20.66,In stock,4
33,Set Me Free,17.46,In stock,5
34,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock,5
35,Rip it Up and Start Again,35.02,In stock,5
36,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In stock,3
37,Olio,23.88,In stock,1
38,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In stock,1
39,Libertarianism for Beginners,51.33,In stock,2
40,It's Only the Himalayas,45.17,In stock,2
41,A Light in the Attic,51.77,In stock,3
42,Tipping the Velvet,53.74,In stock,1
43,Soumission,50.1,In stock,1
44,Sharp Objects,47.82,In stock,4
45,Sapiens: A Brief History of Humankind,54.23,In stock,5
46,The Requiem Red,22.65,In stock,1
47,The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock,4
48,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock,3
49,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In stock,4
50,The Black Maria,52.15,In stock,1
51,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock,2
52,Shakespeare's Sonnets,20.66,In stock,4
53,Set Me Free,17.46,In stock,5
54,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock,5
55,Rip it Up and Start Again,35.02,In stock,5
56,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In stock,3
57,Olio,23.88,In stock,1
58,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In stock,1
59,Libertarianism for Beginners,51.33,In stock,2
60,It's Only the Himalayas,45.17,In stock,2
61,A Light in the Attic,51.77,In stock,3
62,Tipping the Velvet,53.74,In stock,1
63,Soumission,50.1,In stock,1
64,Sharp Objects,47.82,In stock,4
65,Sapiens: A Brief History of Humankind,54.23,In stock,5
66,The Requiem Red,22.65,In stock,1
67,The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock,4
68,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock,3
69,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In stock,4
70,The Black Maria,52.15,In stock,1
71,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock,2
72,Shakespeare's Sonnets,20.66,In stock,4
73,Set Me Free,17.46,In stock,5
74,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock,5
75,Rip it Up and Start Again,35.02,In stock,5
76,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In stock,3
77,Olio,23.88,In stock,1
78,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In stock,1
79,Libertarianism for Beginners,51.33,In stock,2
80,It's Only the Himalayas,45.17,In stock,2
